key,press_time,release_time,hold_time
h,1556412562.707506,1556412562.7958531,0.08834719657897949
a,1556412562.822496,1556412562.970412,0.14791607856750488
s,1556412562.9184902,1556412563.033918,0.11542773246765137
Key.space,1556412563.030535,1556412563.098608,0.06807303428649902
h,1556412563.221487,1556412563.2857401,0.06425309181213379
a,1556412563.344508,1556412563.496783,0.15227508544921875
f,1556412563.745576,1556412563.817826,0.0722501277923584
Key.backspace,1556412564.675244,1556412564.731536,0.056291818618774414
d,1556412564.766764,1556412564.842023,0.07525897026062012
Key.space,1556412564.838665,1556412564.922508,0.08384299278259277
a,1556412565.006471,1556412565.102497,0.09602618217468262
Key.space,1556412565.078357,1556412565.154664,0.07630705833435059
u,1556412565.281468,1556412565.34978,0.06831216812133789
n,1556412565.475863,1556412565.536045,0.06018209457397461
i,1556412565.6289222,1556412565.7048142,0.07589197158813477
q,1556412565.708886,1556412565.805612,0.0967261791229248
u,1556412565.835422,1556412565.9037938,0.06837177276611328
e,1556412565.9564102,1556412566.004551,0.048140764236450195
Key.space,1556412566.016345,1556412566.096677,0.08033204078674316
f,1556412566.27552,1556412566.391756,0.11623597145080566
l,1556412566.470453,1556412566.5347688,0.0643157958984375
a,1556412566.5601149,1556412566.676766,0.11665105819702148
v,1556412566.7160928,1556412566.808748,0.09265518188476562
o,1556412566.871514,1556412566.939798,0.0682840347290039
r,1556412567.02939,1556412567.097794,0.06840395927429199
",",1556412567.187435,1556412567.294847,0.10741209983825684
Key.space,1556412567.279397,1556412567.351524,0.07212710380554199
a,1556412567.401427,1556412567.473417,0.0719900131225586
n,1556412567.4814742,1556412567.569524,0.08804988861083984
d,1556412567.608302,1556412567.736407,0.12810492515563965
Key.space,1556412567.7084851,1556412567.7686982,0.06021308898925781
i,1556412567.8724768,1556412567.920741,0.048264265060424805
t,1556412567.95347,1556412568.0487092,0.09523916244506836
Key.space,1556412568.0332081,1556412568.09769,0.06448197364807129
i,1556412568.1532109,1556412568.2336519,0.08044099807739258
s,1556412568.283401,1556412568.351446,0.06804490089416504
Key.space,1556412568.303382,1556412568.387726,0.08434414863586426
s,1556412568.501407,1556412568.592831,0.09142398834228516
o,1556412568.553395,1556412568.609718,0.05632305145263672
m,1556412568.7386858,1556412568.826732,0.08804607391357422
e,1556412568.855478,1556412568.944105,0.08862686157226562
t,1556412568.9191759,1556412569.022878,0.10370206832885742
i,1556412568.979481,1556412569.0396612,0.0601801872253418
m,1556412569.188359,1556412569.260662,0.07230305671691895
e,1556412569.277502,1556412569.3737018,0.09619975090026855
Key.space,1556412569.527376,1556412569.603196,0.0758199691772461
s,1556412569.5593128,1556412569.639468,0.0801551342010498
u,1556412570.204491,1556412570.2726521,0.0681612491607666
s,1556412570.295419,1556412570.399738,0.10431909561157227
e,1556412570.4564,1556412570.5487208,0.09232091903686523
u,1556412570.8442502,1556412570.896538,0.05228781700134277
Key.backspace,1556412571.254257,1556412571.318527,0.06427001953125
f,1556412571.3874428,1556412571.463564,0.07612109184265137
u,1556412571.5324469,1556412571.596422,0.06397509574890137
l,1556412571.812293,1556412571.90067,0.08837699890136719
Key.space,1556412573.3103948,1556412573.398498,0.0881032943725586
t,1556412573.460333,1556412573.556593,0.09625983238220215
o,1556412573.590715,1556412573.682326,0.09161114692687988
Key.space,1556412573.70233,1556412573.790587,0.0882568359375
r,1556412573.805365,1556412573.913455,0.10808992385864258
e,1556412573.881335,1556412573.9896278,0.10829281806945801
a,1556412574.02127,1556412574.184853,0.16358304023742676
d,1556412574.181261,1556412574.277628,0.09636688232421875
Key.space,1556412574.299254,1556412574.375178,0.07592415809631348
a,1556412574.3890162,1556412574.493618,0.10460186004638672
b,1556412574.642314,1556412574.726673,0.08435893058776855
o,1556412574.7493272,1556412574.833308,0.08398079872131348
u,1556412574.833523,1556412574.904855,0.07133197784423828
t,1556412574.909209,1556412574.9934342,0.08422517776489258
Key.space,1556412575.0102808,1556412575.087585,0.07730412483215332
a,1556412575.118586,1556412575.1986408,0.08005475997924805
Key.space,1556412575.212203,1556412575.276505,0.06430196762084961
p,1556412575.3882308,1556412575.46444,0.07620930671691895
e,1556412575.489242,1556412575.584963,0.09572100639343262
r,1556412575.5776498,1556412575.6854389,0.1077890396118164
i,1556412575.707329,1556412575.751638,0.04430890083312988
o,1556412575.910605,1556412575.970923,0.0603179931640625
d,1556412576.015703,1556412576.099632,0.08392906188964844
Key.space,1556412576.0957901,1556412576.184484,0.08869385719299316
f,1556412576.254812,1556412576.371341,0.11652898788452148
r,1556412576.339187,1556412576.4679282,0.12874126434326172
o,1556412576.407274,1556412576.4676201,0.060346126556396484
m,1556412576.611253,1556412576.69059,0.07933688163757324
Key.space,1556412576.687333,1556412576.787573,0.10023999214172363
t,1556412576.82411,1556412576.907604,0.08349394798278809
h,1556412576.9042659,1556412576.976578,0.0723121166229248
e,1556412577.0114508,1556412577.09858,0.08712911605834961
Key.space,1556412577.095059,1556412577.179494,0.08443498611450195
p,1556412577.296285,1556412577.3803499,0.08406496047973633
e,1556412577.392232,1556412577.467982,0.07575011253356934
r,1556412577.4605162,1556412577.5484722,0.08795595169067383
s,1556412577.688294,1556412577.772564,0.08427000045776367
p,1556412577.836214,1556412577.892562,0.05634784698486328
e,1556412577.917307,1556412577.993564,0.07625699043273926
c,1556412578.19329,1556412578.273503,0.08021306991577148
t,1556412578.5013912,1556412578.597604,0.09621286392211914
i,1556412578.636797,1556412578.689319,0.05252194404602051
v,1556412578.770299,1556412578.893752,0.12345314025878906
e,1556412578.886324,1556412578.990583,0.10425901412963867
Key.space,1556412579.02116,1556412579.1172538,0.09609389305114746
o,1556412579.335237,1556412579.403606,0.06836891174316406
f,1556412579.4034472,1556412579.479421,0.0759737491607666
Key.space,1556412579.505043,1556412579.577572,0.07252907752990723
t,1556412579.650496,1556412579.742574,0.09207797050476074
h,1556412579.764296,1556412579.8364701,0.072174072265625
e,1556412579.8661308,1556412579.9386141,0.07248330116271973
Key.space,1556412579.956023,1556412580.032458,0.07643508911132812
t,1556412581.235044,1556412581.315064,0.08001995086669922
i,1556412581.3272572,1556412581.379446,0.052188873291015625
m,1556412581.545287,1556412581.637088,0.09180116653442383
e,1556412581.6211572,1556412581.6929579,0.07180070877075195
Key.space,1556412581.660658,1556412581.749088,0.08843016624450684
i,1556412581.8002,1556412581.8607218,0.060521841049194336
n,1556412581.968193,1556412582.0404649,0.07227182388305664
Key.space,1556412582.05722,1556412582.113431,0.056210994720458984
w,1556412582.162127,1556412582.250433,0.08830595016479492
h,1556412582.275242,1556412582.3434591,0.06821703910827637
i,1556412582.4211168,1556412582.493539,0.07242226600646973
c,1556412582.560229,1556412582.639482,0.07925295829772949
h,1556412582.636111,1556412582.708529,0.0724179744720459
Key.space,1556412582.7361422,1556412582.8044312,0.06828904151916504
i,1556412582.848972,1556412582.9174888,0.06851673126220703
s,1556412582.971157,1556412583.051177,0.08001995086669922
Key.space,1556412583.05898,1556412583.147377,0.08839702606201172
t,1556412583.2560189,1556412583.3404832,0.08446431159973145
o,1556412583.3560278,1556412583.400424,0.044396162033081055
o,1556412583.514194,1556412583.594469,0.08027505874633789
k,1556412583.635655,1556412583.767631,0.13197612762451172
Key.space,1556412583.748087,1556412583.8403242,0.09223723411560059
p,1556412583.88258,1556412583.991456,0.10887598991394043
l,1556412584.0182688,1556412584.0895202,0.07125139236450195
a,1556412584.070125,1556412584.2141519,0.1440267562866211
c,1556412584.2218869,1556412584.357915,0.13602805137634277
e,1556412584.346113,1556412584.470088,0.12397503852844238
.,1556412584.473925,1556412584.5730739,0.09914875030517578
Key.space,1556412584.554044,1556412584.638358,0.08431410789489746
Key.shift,1556412584.668313,1556412584.852136,0.1838228702545166
T,1556412584.784081,1556412584.868458,0.08437705039978027
h,1556412584.890344,1556412584.950308,0.05996417999267578
e,1556412584.9979908,1556412585.0814111,0.0834202766418457
Key.space,1556412585.061836,1556412585.1383412,0.07650518417358398
f,1556412585.242086,1556412585.337944,0.09585809707641602
o,1556412585.342193,1556412585.390458,0.04826521873474121
l,1556412585.541172,1556412585.597449,0.05627703666687012
l,1556412585.7090418,1556412585.7654788,0.056437015533447266
o,1556412585.88711,1556412585.9553962,0.06828618049621582
w,1556412585.9700842,1556412586.046357,0.07627272605895996
i,1556412586.092893,1556412586.156981,0.06408810615539551
n,1556412586.2614741,1556412586.34146,0.0799858570098877
g,1556412586.353625,1556412586.458514,0.104888916015625
Key.space,1556412586.43754,1556412586.5097861,0.07224607467651367
c,1556412586.651052,1556412586.770675,0.11962294578552246
o,1556412586.731206,1556412586.8074932,0.07628726959228516
m,1556412586.94908,1556412587.033034,0.0839540958404541
e,1556412587.0130901,1556412587.109237,0.09614682197570801
Key.space,1556412587.109399,1556412587.201278,0.09187889099121094
f,1556412587.268043,1556412587.3995461,0.13150310516357422
r,1556412587.360022,1556412587.467615,0.10759282112121582
o,1556412587.455957,1556412587.528247,0.07229018211364746
m,1556412587.67216,1556412587.7595341,0.08737421035766602
Key.space,1556412587.7558248,1556412587.864438,0.10861325263977051
Key.shift,1556412588.01424,1556412588.5425138,0.5282738208770752
"""",1556412588.15404,1556412588.218077,0.06403684616088867
Key.shift,1556412588.9021592,1556412589.105986,0.203826904296875
S,1556412589.025894,1556412589.1224551,0.09656119346618652
p,1556412589.153022,1556412589.3053749,0.15235280990600586
l,1556412589.325054,1556412589.421346,0.09629201889038086
a,1556412589.959837,1556412590.076341,0.11650395393371582
d,1556412590.1480708,1556412590.224065,0.07599425315856934
i,1556412590.236042,1556412590.300333,0.06429100036621094
n,1556412590.410082,1556412590.486303,0.07622098922729492
